name,highBuy,lowBuy,highSell,lowSell,buyChange,sellChange,volumeSold,volumeBought,totalRecordedData,currentBuyPrice,currentSellPrice
"Pot of Gold",0,0,0,0,0,0,0,0,0,0,0
"Rare Fishing Bait",0,0,0,0,0,0,0,0,0,0,0
"Shield",0,0,0,0,0,0,0,0,0,0,0
"Paint Wall Shelf",147,147,0,0,0,0,0,0,278,147,0
"Brown/Silver Key",147,147,75,75,0,0,0,0,278,147,75
"Ceiling Lamp (White)",0,0,0,0,0,0,0,0,0,0,0
"Tavern Keg",73.5,73.5,0,0,0,0,0,0,278,73.5,0
"Pale Oak Slab",0.98,0.98,0,0,0,0,0,0,278,0.98,0
"String",1.3870606060606039,1.3724188034188014,1.2574609375000025,1.1295779220779243,-0.010555993765592575,-0.10169939696788788,1629,48,278,1.3724188034188014,1.1295779220779243
"Diamond Helmet",4.745263157894738,4.736666666666668,0,0,0.0018148820381611586,0,0,1,278,4.745263157894738,0
"Flowering Azalea Leaves",0.30625,0.30625,0,0,0,0,0,0,278,0.30625,0
"Flint And Steel",0,0,0,0,0,0,0,0,0,0,0
"Sofa",39.2,39.2,0,0,0,0,0,0,275,39.2,0
"Pile of Golden Horseshoe",0,0,0,0,0,0,0,0,0,0,0
"Poisonous Potato",0.98,0.98,0,0,0,0,0,0,278,0.98,0
"Potato Soup",0,0,0,0,0,0,0,0,0,0,0
"Clover Wine",0,0,0,0,0,0,0,0,0,0,0
"Bowl",0,0,0.02,0.02,0,0,0,0,278,0,0.02
"ORIGIN-12",0,0,0,0,0,0,0,0,0,0,0
"Bike",73.5,73.5,0,0,0,0,0,1,278,73.5,0
"Hay Block",2.205,2.205,1.8000000000000003,1.8000000000000003,0,0,0,0,278,2.205,1.8000000000000003
"Arrow",0.8613281250000003,0.8613281250000003,0.8661666666666673,0.8661666666666673,0,0,0,0,278,0.8613281250000003,0.8661666666666673
"Lime Shulker Box",1500,1500,0,0,0,0,0,0,278,1500,0
"Tropical Fish",1.96,1.96,1.5,1.5,0,0,0,0,278,1.96,1.5
"Bookstack",73.5,73.5,0,0,0,0,0,0,278,73.5,0
"Jungle Wood",3,3,2,2,0,0,0,0,278,3,2
"Display Screen",0,0,0,0,0,0,0,0,0,0,0
"Spruce Log",0.37082468067994473,0.36987878787878875,0.3118402777777778,0.3118402777777778,-0.0025507817044854164,0,0,1152,278,0.36987878787878875,0.3118402777777778
"Cozy Garden Sofa Swing",73.5,73.5,0,0,0,0,0,0,278,73.5,0
"Standing Loom",0,0,0,0,0,0,0,0,0,0,0
"Mutton",7.349999999999997,6.990666666666664,1.899999999999999,1.899999999999999,-0.04888888821005821,0,0,1,278,6.990666666666664,1.899999999999999
"Black Terracotta",0,0,0,0,0,0,0,0,0,0,0
"Furnace",0,0,0,0,0,0,0,0,0,0,0
"Pancakes",0,0,0,0,0,0,0,0,0,0,0
"Brown Terracotta",0,0,0.5,0.5,0,0,0,0,278,0,0.5
"Azalea",0.49000000000000016,0.49000000000000016,0,0,0,0,0,0,278,0.49000000000000016,0
"Blue Orchid",0.9800000000000002,0.9800000000000002,0.75,0.75,0,0,0,0,278,0.9800000000000002,0.75
"Fox Spawn Egg",0,0,0,0,0,0,0,0,0,0,0
"MOGG Contester",784,784,0,0,0,0,0,0,278,784,0
"Ironing Board",49,49,0,0,0,0,0,0,278,49,0
"Garden Cart",73.5,73.5,0,0,0,0,0,0,279,73.5,0
"Stripped Dark Oak Log",0.1225,0.1225,0,0,0,0,0,0,279,0.1225,0
"Ancient Debris",4.5878030303030215,4.5878030303030215,4.750229885057476,4.750229885057476,0,0,0,0,279,4.5878030303030215,4.750229885057476
"Table Towel (Black)",0,0,0,0,0,0,0,0,0,0,0
"Blacksmith Anvil",73.5,73.5,0,0,0,0,0,1,279,73.5,0
"Book Lamp",0,0,0,0,0,0,0,0,0,0,0
"Fish and Chips",0,0,0,0,0,0,0,0,0,0,0
"White Stained Glass",0.7349999999999997,0.7349999999999997,0,0,0,0,0,0,279,0.7349999999999997,0
"Green Terracotta",0.7643999999999999,0.7643999999999999,0,0,0,0,0,0,279,0.7643999999999999,0
"Pink Tulip",0.98,0.98,0.75,0.75,0,0,0,0,279,0.98,0.75
"Netherite Helmet",72.36463146067416,72.36463146067416,60,60,0,0,0,1,279,72.36463146067416,60
"Truthfully",4.255555555555556,4.255555555555556,3,3,0,0,0,0,276,4.255555555555556,3
"Mud Bricks",4.9,4.9,0.46875,0.46875,0,0,0,0,279,4.9,0.46875
"Postcards stand",122.5,122.5,0,0,0,0,0,0,276,122.5,0
"Counter (White)",0,0,0,0,0,0,0,0,0,0,0
"Amulance",0,0,0,0,0,0,0,0,0,0,0
"Rabbit Hide",0,0,0,0,0,0,0,0,0,0,0
"White Concrete Powder",0.4124166666666667,0.4124166666666667,0,0,0,0,0,0,279,0.4124166666666667,0
